REGION,DIVISION,STATEFP,STATENS,GEOID,GEOIDFQ,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
3,5,54,1779805,54,0400000US54,WV,West Virginia,0,G4000,A,62266499712,489003081,38.6472854,-80.6183274
3,5,12,294478,12,0400000US12,FL,Florida,0,G4000,A,1.39E+11,45970528648,28.3989775,-82.5143005
2,3,17,1779784,17,0400000US17,IL,Illinois,0,G4000,A,1.44E+11,6216688589,40.1028754,-89.1526108
2,4,27,662849,27,0400000US27,MN,Minnesota,0,G4000,A,2.06E+11,18937471947,46.3159573,-94.1996043
3,5,24,1714934,24,0400000US24,MD,Maryland,0,G4000,A,25151736098,6979330958,38.9466584,-76.6744939
1,1,44,1219835,44,0400000US44,RI,Rhode Island,0,G4000,A,2677763372,1323686976,41.596485,-71.5264901
4,8,16,1779783,16,0400000US16,ID,Idaho,0,G4000,A,2.14E+11,2391614331,44.3484222,-114.5588538
1,1,33,1779794,33,0400000US33,NH,New Hampshire,0,G4000,A,23190126365,1025956733,43.6727945,-71.5841886
3,5,37,1027616,37,0400000US37,NC,North Carolina,0,G4000,A,1.26E+11,13453540851,35.53971,-79.1308636
1,1,50,1779802,50,0400000US50,VT,Vermont,0,G4000,A,23872589127,1030648383,44.0589536,-72.6710173
1,1,9,1779780,9,0400000US09,CT,Connecticut,0,G4000,A,12541750274,1816364426,41.5798637,-72.7466572
3,5,10,1779781,10,0400000US10,DE,Delaware,0,G4000,A,5046703781,1399207462,38.9985661,-75.441644
4,8,35,897535,35,0400000US35,NM,New Mexico,0,G4000,A,3.14E+11,726463919,34.4346843,-106.1316181
4,9,6,1779778,6,0400000US06,CA,California,0,G4000,A,4.04E+11,20291770234,37.1551773,-119.5434183
1,2,34,1779795,34,0400000US34,NJ,New Jersey,0,G4000,A,19049183398,3532816229,40.1072744,-74.6652012
2,3,55,1779806,55,0400000US55,WI,Wisconsin,0,G4000,A,1.40E+11,29343084365,44.6309071,-89.7093916
4,9,41,1155107,41,0400000US41,OR,Oregon,0,G4000,A,2.49E+11,6168960338,43.9717125,-120.6229578
2,4,31,1779792,31,0400000US31,NE,Nebraska,0,G4000,A,1.99E+11,1379309601,41.5433053,-99.8118646
1,2,42,1779798,42,0400000US42,PA,Pennsylvania,0,G4000,A,1.16E+11,3397855215,40.9046042,-77.8275233
4,9,53,1779804,53,0400000US53,WA,Washington,0,G4000,A,1.72E+11,12548923076,47.4073238,-120.5757999
3,7,22,1629543,22,0400000US22,LA,Louisiana,0,G4000,A,1.12E+11,23721187320,30.8634368,-91.7987173
3,5,13,1705317,13,0400000US13,GA,Georgia,0,G4000,A,1.49E+11,4419673221,32.6295789,-83.4235109
3,6,1,1779775,1,0400000US01,AL,Alabama,0,G4000,A,1.31E+11,4582326383,32.7395785,-86.8434469
4,8,49,1455989,49,0400000US49,UT,Utah,0,G4000,A,2.14E+11,5963196691,39.3349925,-111.6563326
2,3,39,1085497,39,0400000US39,OH,Ohio,0,G4000,A,1.06E+11,10274524796,40.4149297,-82.7119975
3,7,48,1779801,48,0400000US48,TX,Texas,0,G4000,A,6.77E+11,18982083586,31.4347032,-99.2818238
4,8,8,1779779,8,0400000US08,CO,Colorado,0,G4000,A,2.68E+11,1185758065,38.9937669,-105.5087122
3,5,45,1779799,45,0400000US45,SC,South Carolina,0,G4000,A,77866000436,5074443652,33.8741776,-80.8542639
3,7,40,1102857,40,0400000US40,OK,Oklahoma,0,G4000,A,1.78E+11,3373395450,35.5900815,-97.4867789
3,6,47,1325873,47,0400000US47,TN,Tennessee,0,G4000,A,1.07E+11,2322248149,35.85846,-86.3496339
4,8,56,1779807,56,0400000US56,WY,Wyoming,0,G4000,A,2.51E+11,1868053273,42.9896591,-107.5443922
4,9,15,1779782,15,0400000US15,HI,Hawaii,0,G4000,A,16634423916,11777375352,19.8281671,-155.4950421
2,4,38,1779797,38,0400000US38,ND,North Dakota,0,G4000,A,1.79E+11,4414747947,47.442174,-100.4608258
3,6,21,1779786,21,0400000US21,KY,Kentucky,0,G4000,A,1.02E+11,2384223544,37.5336844,-85.2929801
9,0,78,1802710,78,0400000US78,VI,United States Virgin Islands,0,G4000,A,348021909,1550236187,18.3392359,-64.9500433
9,0,69,1779809,69,0400000US69,MP,Commonwealth of the Northern Mariana Islands,0,G4000,A,472292520,4644252458,15.0010865,145.6181702
9,0,66,1802705,66,0400000US66,GU,Guam,0,G4000,A,543555846,934337453,13.4382885,144.7729494
1,1,23,1779787,23,0400000US23,ME,Maine,0,G4000,A,79888284131,11745177995,45.4092843,-68.666616
1,2,36,1779796,36,0400000US36,NY,New York,0,G4000,A,1.22E+11,19256833049,42.9133974,-75.5962723
4,8,32,1779793,32,0400000US32,NV,Nevada,0,G4000,A,2.85E+11,1839880833,39.3310928,-116.6151469
4,9,2,1785533,2,0400000US02,AK,Alaska,0,G4000,A,1.48E+12,2.45E+11,63.347356,-152.8397334
9,0,60,1802701,60,0400000US60,AS,American Samoa,0,G4000,A,197759067,1307243751,-14.267159,-170.6682674
2,3,26,1779789,26,0400000US26,MI,Michigan,0,G4000,A,1.47E+11,1.04E+11,44.8441768,-85.6604907
3,7,5,68085,5,0400000US05,AR,Arkansas,0,G4000,A,1.35E+11,3122251184,34.8955256,-92.4446262
3,6,28,1779790,28,0400000US28,MS,Mississippi,0,G4000,A,1.22E+11,3914738613,32.6864714,-89.6561377
2,4,29,1779791,29,0400000US29,MO,Missouri,0,G4000,A,1.78E+11,2487519141,38.35075,-92.4567826
4,8,30,767982,30,0400000US30,MT,Montana,0,G4000,A,3.77E+11,3867177570,47.051177,-109.6348174
2,4,20,481813,20,0400000US20,KS,Kansas,0,G4000,A,2.12E+11,1345707708,38.4985464,-98.3834298
2,3,18,448508,18,0400000US18,IN,Indiana,0,G4000,A,92786613552,1543998356,39.9013136,-86.2919129
9,0,72,1779808,72,0400000US72,PR,Puerto Rico,0,G4000,A,8869031577,4922247037,18.217648,-66.4107992
2,4,46,1785534,46,0400000US46,SD,South Dakota,0,G4000,A,1.96E+11,3387709166,44.4467957,-100.2381762
1,1,25,606926,25,0400000US25,MA,Massachusetts,0,G4000,A,20204345054,7130705555,42.1565196,-71.4895915
3,5,51,1779803,51,0400000US51,VA,Virginia,0,G4000,A,1.02E+11,8528087616,37.5222512,-78.6681938
3,5,11,1702382,11,0400000US11,DC,District of Columbia,0,G4000,A,158316184,18709787,38.9042474,-77.0165167
2,4,19,1779785,19,0400000US19,IA,Iowa,0,G4000,A,1.45E+11,1086402333,42.0700243,-93.4933473
4,8,4,1779777,4,0400000US04,AZ,Arizona,0,G4000,A,2.94E+11,854003932,34.2039362,-111.6063449
